id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Germ.PGC|Germ.PGC	Germ.PGC|Somatic.OSE	Germ.PGC|Somatic.preGC_IIa	Somatic.OSE|Germ.PGC	Somatic.OSE|Somatic.OSE	Somatic.OSE|Somatic.preGC_IIa	Somatic.preGC_IIa|Germ.PGC	Somatic.preGC_IIa|Somatic.OSE	Somatic.preGC_IIa|Somatic.preGC_IIa	Germ.oogonia_STRA8|Germ.oogonia_STRA8	Germ.oogonia_STRA8|Germ.oogonia_meiotic	Germ.oogonia_STRA8|Somatic.preGC_IIb	Germ.oogonia_meiotic|Germ.oogonia_STRA8	Germ.oogonia_meiotic|Germ.oogonia_meiotic	Germ.oogonia_meiotic|Somatic.preGC_IIb	Somatic.preGC_IIb|Germ.oogonia_STRA8	Somatic.preGC_IIb|Germ.oogonia_meiotic	Somatic.preGC_IIb|Somatic.preGC_IIb	Germ.oocyte|Germ.oocyte	Germ.oocyte|Somatic.granulosa	Somatic.granulosa|Germ.oocyte	Somatic.granulosa|Somatic.granulosa
CPI-SS0008137B6	EFNA4_EPHA5	simple:P52798	simple:P54756	EFNA4	EPHA5	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.337	0.347	0.35	0.158	0.168	0.171	0.238	0.248	0.251	0.102	0.103	0.116	0.017	0.017	0.031	0.18	0.181	0.194	0.0	0.059	0.0	0.066
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.013	0.022	0.026	0.008	0.018	0.02	0.006	0.016	0.019	0.022	0.023	0.036	0.01	0.01	0.024	0.004	0.004	0.018	0.0	0.018	0.0	0.013
CPI-SS03E450F99	EFNA1_EPHA7	simple:P20827	simple:Q15375	EFNA1	EPHA7	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.208	0.21	0.206	0.196	0.199	0.194	0.171	0.174	0.169	0.352	0.377	0.341	0.1	0.124	0.088	0.248	0.273	0.237	0.027	0.06	0.436	0.469
CPI-SS01DCC7684	EFNA2_EPHA7	simple:O43921	simple:Q15375	EFNA2	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.042	0.044	0.04	0.038	0.041	0.036	0.04	0.042	0.038	0.041	0.066	0.03	0.041	0.065	0.029	0.041	0.066	0.03	0.0	0.0	0.0	0.0
CPI-SS0D5DBB634	EFNA3_EPHA7	simple:P52797	simple:Q15375	EFNA3	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.166	0.169	0.164	0.07	0.072	0.068	0.096	0.098	0.094	0.206	0.231	0.195	0.182	0.206	0.17	0.07	0.094	0.058	0.073	0.105	0.027	0.059
CPI-SS0F81DBF22	EFNA4_EPHA7	simple:P52798	simple:Q15375	EFNA4	EPHA7	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.374	0.376	0.372	0.195	0.197	0.193	0.275	0.278	0.273	0.142	0.166	0.13	0.056	0.08	0.044	0.22	0.244	0.208	0.06	0.093	0.068	0.1
CPI-SS028688B7B	EFNA5_EPHA7	simple:P52803	simple:Q15375	EFNA5	EPHA7	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.05	0.052	0.048	0.044	0.047	0.042	0.043	0.046	0.041	0.061	0.086	0.05	0.049	0.073	0.037	0.042	0.067	0.031	0.02	0.052	0.014	0.047
CPI-SS037E6BEDF	EFNA1_EPHA8	simple:P20827	simple:P29322	EFNA1	EPHA8	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.18	0.17	0.176	0.168	0.159	0.166	0.143	0.134	0.14	0.324	0.314	0.317	0.071	0.061	0.064	0.22	0.21	0.212	0.089	0.0	0.498	0.0
CPI-SS0830C7910	EFNA2_EPHA8	simple:O43921	simple:P29322	EFNA2	EPHA8	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.013	0.005	0.011	0.01	0.002	0.008	0.012	0.003	0.008	0.012	0.003	0.006	0.012	0.002	0.005	0.012	0.003	0.006	0.0	0.0	0.0	0.0
CPI-SS0C8ED6F41	EFNA3_EPHA8	simple:P52797	simple:P29322	EFNA3	EPHA8	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.138	0.129	0.136	0.042	0.033	0.039	0.067	0.058	0.064	0.178	0.168	0.171	0.153	0.143	0.146	0.041	0.031	0.034	0.134	0.0	0.088	0.0
CPI-SS0AA68C8E5	EFNA4_EPHA8	simple:P52798	simple:P29322	EFNA4	EPHA8	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.346	0.337	0.343	0.167	0.158	0.164	0.247	0.238	0.244	0.113	0.103	0.106	0.027	0.018	0.02	0.191	0.181	0.184	0.122	0.0	0.129	0.0
CPI-SS0F6A01237	EFNA5_EPHA8	simple:P52803	simple:P29322	EFNA5	EPHA8	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.021	0.012	0.018	0.016	0.008	0.014	0.015	0.006	0.012	0.033	0.023	0.026	0.02	0.01	0.013	0.014	0.004	0.007	0.081	0.0	0.076	0.0
CPI-SS068ACD209	EFNA5_EPHB2	simple:P52803	simple:P29323	EFNA5	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.046	0.182	0.091	0.04	0.178	0.086	0.039	0.176	0.084	0.102	0.039	0.168	0.089	0.026	0.156	0.082	0.02	0.15	0.057	0.175	0.051	0.169
CPI-SS06E797E50	EFNB1_EPHB2	simple:P98172	simple:P29323	EFNB1	EPHB2	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.095	0.232	0.141	0.15	0.286	0.195	0.139	0.276	0.185	0.16	0.098	0.227	0.12	0.058	0.187	0.236	0.174	0.304	0.073	0.191	0.528	0.647
CPI-SS0ECC9DF3E	EFNB2_EPHB2	simple:P52799	simple:P29323	EFNB2	EPHB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.061	0.197	0.106	0.063	0.2	0.108	0.05	0.188	0.096	0.145	0.083	0.212	0.123	0.06	0.19	0.139	0.077	0.206	0.1	0.218	0.236	0.355
CPI-SS0ECCB4382	EFNB3_EPHB2	simple:Q15768	simple:P29323	EFNB3	EPHB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.07	0.206	0.115	0.182	0.32	0.228	0.097	0.234	0.143	0.092	0.029	0.158	0.085	0.022	0.152	0.146	0.084	0.213	0.052	0.17	0.088	0.206
CPI-SS03C7D1520	EFNB1_EPHB1	simple:P98172	simple:P54762	EFNB1	EPHB1	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.068	0.11	0.098	0.122	0.164	0.153	0.112	0.153	0.142	0.088	0.082	0.096	0.047	0.041	0.056	0.164	0.158	0.172	0.046	0.029	0.501	0.484
CPI-SS0BFD8E056	EFNB2_EPHB1	simple:P52799	simple:P54762	EFNB2	EPHB1	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.034	0.075	0.064	0.036	0.078	0.066	0.024	0.065	0.054	0.072	0.066	0.081	0.05	0.044	0.059	0.066	0.06	0.075	0.073	0.056	0.209	0.192
CPI-SS0CE96B837	EFNB3_EPHB1	simple:Q15768	simple:P54762	EFNB3	EPHB1	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.042	0.084	0.073	0.156	0.197	0.186	0.07	0.112	0.1	0.018	0.013	0.028	0.012	0.006	0.021	0.073	0.067	0.082	0.025	0.008	0.061	0.044
CPI-SS0C2003B74	EFNB1_EPHB3	simple:P98172	simple:P54753	EFNB1	EPHB3	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.13	0.096	0.124	0.185	0.15	0.178	0.174	0.139	0.168	0.084	0.086	0.124	0.044	0.045	0.083	0.16	0.162	0.2	0.03	0.053	0.485	0.508
CPI-SS082ABF1EA	EFNB2_EPHB3	simple:P52799	simple:P54753	EFNB2	EPHB3	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.096	0.061	0.09	0.098	0.064	0.092	0.086	0.051	0.08	0.069	0.07	0.108	0.047	0.048	0.086	0.063	0.064	0.102	0.057	0.08	0.193	0.216
CPI-SS01BBAD475	EFNB3_EPHB3	simple:Q15768	simple:P54753	EFNB3	EPHB3	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.105	0.07	0.098	0.218	0.183	0.212	0.132	0.098	0.126	0.016	0.017	0.055	0.009	0.01	0.048	0.07	0.071	0.109	0.009	0.032	0.045	0.068
CPI-SS09D9D6811	EFNB1_EPHB4	simple:P98172	simple:P54760	EFNB1	EPHB4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.496	0.165	0.126	0.551	0.22	0.18	0.54	0.209	0.17	0.165	0.093	0.146	0.125	0.053	0.106	0.241	0.169	0.222	0.031	0.089	0.487	0.545
CPI-SS08D0F9109	EFNB2_EPHB4	simple:P52799	simple:P54760	EFNB2	EPHB4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.462	0.13	0.091	0.464	0.133	0.094	0.452	0.12	0.081	0.15	0.077	0.131	0.127	0.055	0.109	0.144	0.071	0.125	0.058	0.117	0.194	0.253
CPI-SS0F6AA700E	EFNB3_EPHB4	simple:Q15768	simple:P54760	EFNB3	EPHB4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.471	0.139	0.1	0.584	0.252	0.213	0.498	0.167	0.128	0.096	0.024	0.078	0.089	0.017	0.071	0.15	0.078	0.132	0.01	0.068	0.046	0.105
CPI-SS040D3C47C	EFNB1_EPHB6	simple:P98172	simple:O15197	EFNB1	EPHB6	True	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.11	0.119	0.094	0.164	0.174	0.148	0.153	0.163	0.138	0.167	0.091	0.126	0.127	0.051	0.086	0.244	0.167	0.202	0.037	0.057	0.493	0.513
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.075	0.084	0.059	0.078	0.087	0.062	0.065	0.074	0.049	0.152	0.076	0.11	0.13	0.053	0.088	0.146	0.07	0.104	0.064	0.084	0.2	0.22
CPI-SS0A39F4895	EFNB3_EPHB6	simple:Q15768	simple:O15197	EFNB3	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.084	0.094	0.068	0.197	0.207	0.181	0.112	0.121	0.096	0.098	0.022	0.057	0.092	0.015	0.05	0.153	0.077	0.111	0.016	0.036	0.052	0.072
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.008	0.067	0.074	0.04	0.098	0.105	0.029	0.088	0.094	0.026	0.02	0.041	0.083	0.078	0.099	0.056	0.051	0.072	0.012	0.11	0.035	0.133
CPI-SS0CC966B71	BTC_EGFR	simple:P35070	simple:P00533	BTC	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.005	0.064	0.07	0.013	0.072	0.079	0.021	0.08	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.027	0.048	0.004	0.102	0.08	0.178
CPI-SS09947DDD9	EGF_EGFR	simple:P01133	simple:P00533	EGF	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.006	0.065	0.072	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.004	0.025	0.023	0.018	0.039	0.006	0.001	0.022	0.0	0.0	0.004	0.102
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.005	0.063	0.07	0.004	0.062	0.07	0.005	0.063	0.07	0.014	0.009	0.03	0.009	0.004	0.025	0.008	0.003	0.024	0.0	0.0	0.011	0.109
CPI-SS09B2ACA25	HBEGF_EGFR	simple:Q99075	simple:P00533	HBEGF	EGFR	True	True	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.038	0.096	0.103	0.067	0.125	0.132	0.027	0.086	0.092	0.09	0.085	0.106	0.066	0.061	0.082	0.059	0.054	0.074	0.033	0.131	0.024	0.121
CPI-SS07E5C3060	TGFA_EGFR	simple:P01135	simple:P00533	TGFA	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Transforming growth factor	0.004	0.062	0.07	0.0	0.0	0.0	0.006	0.065	0.072	0.006	0.001	0.022	0.007	0.002	0.023	0.014	0.009	0.03	0.124	0.222	0.007	0.105
CPI-SS05A6C9EC5	BTC_ERBB3	simple:P35070	simple:P21860	BTC	ERBB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Betacellulin	0.392	0.016	0.013	0.401	0.024	0.021	0.409	0.032	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.098	0.054	0.032	0.006	0.005	0.083	0.082
CPI-SS02B906C26	NRG1_ERBB3	simple:Q02297	simple:P21860	NRG1	ERBB3	True	True	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.51	0.134	0.131	0.409	0.032	0.03	0.544	0.168	0.165	0.128	0.083	0.062	0.081	0.036	0.015	0.251	0.207	0.185	0.021	0.02	0.018	0.017
CPI-SS053613259	NRG2_ERBB3	simple:O14511	simple:P21860	NRG2	ERBB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.461	0.084	0.082	0.437	0.06	0.058	0.404	0.028	0.025	0.13	0.086	0.064	0.109	0.065	0.043	0.097	0.053	0.031	0.014	0.013	0.025	0.024
CPI-SS0F0D7F25C	BTC_ERBB4	simple:P35070	simple:Q15303	BTC	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Betacellulin	0.003	0.116	0.048	0.012	0.124	0.057	0.019	0.132	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.042	0.124	0.225	0.14	0.302	0.216
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	EREG	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.002	0.115	0.048	0.002	0.114	0.047	0.002	0.115	0.048	0.015	0.023	0.106	0.01	0.019	0.101	0.01	0.018	0.1	0.0	0.0	0.233	0.147
CPI-SS060B846D1	HBEGF_ERBB4	simple:Q99075	simple:Q15303	HBEGF	ERBB4	True	True	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.036	0.148	0.081	0.065	0.178	0.11	0.025	0.138	0.07	0.091	0.099	0.181	0.067	0.075	0.158	0.06	0.068	0.15	0.255	0.169	0.245	0.16
CPI-SS0BD5C2A23	NRG1_ERBB4	simple:Q02297	simple:Q15303	NRG1	ERBB4	True	True	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.121	0.234	0.166	0.019	0.132	0.065	0.155	0.268	0.2	0.062	0.071	0.153	0.016	0.024	0.106	0.186	0.194	0.276	0.24	0.154	0.237	0.151
CPI-SS0E063192D	NRG2_ERBB4	simple:O14511	simple:Q15303	NRG2	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.072	0.184	0.117	0.048	0.16	0.092	0.015	0.128	0.06	0.066	0.074	0.156	0.044	0.052	0.134	0.032	0.04	0.122	0.233	0.147	0.244	0.158
CPI-SS0D5E30C6C	NRG3_ERBB4	simple:P56975	simple:Q15303	NRG3	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.04	0.152	0.084	0.002	0.114	0.047	0.002	0.115	0.048	0.047	0.055	0.137	0.043	0.051	0.133	0.008	0.016	0.098	0.238	0.152	0.226	0.14
CPI-SS0627D0E22	NRG4_ERBB4	simple:Q8WWG1	simple:Q15303	NRG4	ERBB4	True	False	True	curated	False	Ligand-Receptor	Signaling by Neuregulin	0.019	0.132	0.065	0.032	0.145	0.078	0.034	0.146	0.078	0.068	0.076	0.158	0.026	0.034	0.116	0.036	0.045	0.127	0.649	0.563	0.24	0.154
CPI-SS03E7FB333	HBEGF_ERBB2	simple:Q99075	simple:P04626	HBEGF	ERBB2	True	True	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.136	0.141	0.09	0.164	0.17	0.12	0.125	0.13	0.08	0.139	0.165	0.164	0.116	0.141	0.14	0.108	0.134	0.132	0.065	0.183	0.056	0.174
CPI-SS000568A0E	FCER2_CR2	simple:P06734	simple:P20023	FCER2	CR2	True	True	True	curated	False	Receptor-Receptor	Signaling by FC receptor	0.014	0.0	0.014	0.0	0.0	0.0	0.004	0.0	0.004	0.003	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0
CPI-SS0D26FB68C	FCER2_FGFR2	simple:P06734	simple:P21802	FCER2	FGFR2	True	True	True	curated	False	Receptor-Receptor	Signaling by FC receptor	0.125	0.13	0.115	0.0	0.0	0.0	0.115	0.12	0.105	0.053	0.019	0.094	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.011	0.0	0.0
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	FGF1	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.114	0.118	0.104	0.114	0.118	0.104	0.0	0.0	0.0	0.051	0.017	0.093	0.052	0.017	0.093	0.0	0.0	0.029	0.027
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	FGF10	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.114	0.118	0.104	0.117	0.122	0.106	0.118	0.122	0.107	0.052	0.018	0.094	0.052	0.018	0.093	0.056	0.021	0.097	0.0	0.0	0.015	0.013
CPI-SS05A94DE17	FGF2_FGFR2	simple:P09038	simple:P21802	FGF2	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.131	0.136	0.12	0.14	0.144	0.13	0.122	0.127	0.112	0.098	0.064	0.14	0.094	0.06	0.135	0.07	0.035	0.111	0.041	0.038	0.044	0.041
CPI-SS09D21167E	FGF22_FGFR2	simple:Q9HCT0	simple:P21802	FGF22	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.117	0.122	0.106	0.115	0.12	0.104	0.116	0.121	0.106	0.068	0.033	0.109	0.053	0.019	0.094	0.053	0.019	0.094	0.016	0.013	0.012	0.01
CPI-SS06D341996	FGF3_FGFR2	simple:P11487	simple:P21802	FGF3	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.116	0.12	0.106	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.018	0.094	0.052	0.018	0.093	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.123	0.128	0.112	0.132	0.137	0.122	0.128	0.133	0.118	0.056	0.022	0.098	0.057	0.023	0.099	0.064	0.03	0.106	0.016	0.013	0.055	0.052
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.415	0.427	0.609	0.415	0.427	0.609	0.0	0.0	0.0	0.235	0.082	0.775	0.235	0.082	0.775	0.0	0.0	0.162	0.328
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.432	0.444	0.626	0.441	0.453	0.635	0.424	0.436	0.618	0.282	0.129	0.822	0.277	0.124	0.817	0.253	0.1	0.793	0.174	0.339	0.177	0.342
CPI-SS0FFB9E01B	FGF4_FGFR1	simple:P08620	simple:P11362	FGF4	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.234	0.082	0.774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.415	0.427	0.609	0.416	0.427	0.61	0.0	0.0	0.0	0.235	0.082	0.775	0.244	0.091	0.784	0.234	0.082	0.774	0.0	0.0	0.146	0.311
CPI-SS05632AB58	NCAM1_FGFR1	simple:P13591	simple:P11362	NCAM1	FGFR1	True	True	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.45	0.462	0.644	0.46	0.472	0.654	0.49	0.502	0.684	0.249	0.096	0.789	0.241	0.088	0.781	0.266	0.114	0.806	0.154	0.319	0.237	0.403
CPI-SS015819E65	FGF1_FGFR3	simple:P05230	simple:P22607	FGF1	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.584	0.015	0.003	0.584	0.015	0.003	0.0	0.0	0.0	0.617	0.086	0.006	0.617	0.086	0.006	0.0	0.0	0.044	0.034
CPI-SS0BC9F7E9E	FGF17_FGFR3	simple:O60258	simple:P22607	FGF17	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.597	0.028	0.016	0.585	0.016	0.004	0.594	0.025	0.013	0.634	0.104	0.024	0.63	0.099	0.019	0.626	0.095	0.015	0.033	0.023	0.039	0.028
CPI-SS0D636A374	FGF2_FGFR3	simple:P09038	simple:P22607	FGF2	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.602	0.032	0.02	0.61	0.041	0.029	0.593	0.024	0.011	0.664	0.133	0.053	0.659	0.128	0.048	0.635	0.104	0.024	0.055	0.045	0.058	0.048
CPI-SS0696C2B28	FGF20_FGFR3	simple:Q9NP95	simple:P22607	FGF20	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.588	0.018	0.006	0.59	0.021	0.009	0.667	0.098	0.085	0.616	0.086	0.006	0.618	0.087	0.007	0.654	0.123	0.042	0.03	0.019	0.0	0.0
CPI-SS0CFABB69A	FGF8_FGFR3	simple:P55075	simple:P22607	FGF8	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.589	0.019	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.089	0.009	0.621	0.09	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05D62446A	FGF9_FGFR3	simple:P31371	simple:P22607	FGF9	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.636	0.067	0.055	0.649	0.08	0.067	0.598	0.029	0.017	0.64	0.11	0.03	0.674	0.143	0.063	0.67	0.14	0.059	0.193	0.183	0.047	0.037
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	FGF1	FGFR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.0	0.0	0.0	0.11	0.009	0.043	0.11	0.009	0.043	0.0	0.0	0.0	0.087	0.051	0.027	0.087	0.051	0.028	0.0	0.0	0.06	0.025
CPI-SS008FB916C	FGF2_FGFR4	simple:P09038	simple:P22455	FGF2	FGFR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.126	0.026	0.06	0.136	0.035	0.069	0.118	0.018	0.052	0.134	0.098	0.074	0.129	0.094	0.07	0.105	0.069	0.046	0.071	0.037	0.074	0.04
CPI-SS001D9549D	SDC2_FGFR4	simple:P34741	simple:P22455	SDC2	FGFR4	True	False	True	curated	False	Ligand-Receptor		1.264	1.163	1.197	0.486	0.386	0.42	0.336	0.236	0.27	0.513	0.477	0.453	0.163	0.127	0.103	0.396	0.36	0.336	0.23	0.195	2.471	2.436
CPI-SC068641E32	FGF19_BetaKlotho_FGFR4	simple:O95750	complex:BetaKlotho_FGFR4	FGF19		True	False	False	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.018	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.012	0.014	0.008	0.01	0.012	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC0601E173E	FGF21_BetaKlotho_FGFR4	simple:Q9NSA1	complex:BetaKlotho_FGFR4	FGF21		True	False	False	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.009	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.0
CPI-SS0B7D22073	FGL1_LAG3	simple:Q08830	simple:P18627	FGL1	LAG3	True	False	False	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.047	0.006	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.186	0.26	0.006	0.186	0.26	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C21302BC	NCAM1_AGRN	simple:P13591	simple:O00468	NCAM1	AGRN	True	True	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.067	0.351	0.087	0.077	0.361	0.096	0.108	0.392	0.127	0.094	0.041	0.076	0.086	0.033	0.067	0.112	0.059	0.093	0.031	0.398	0.114	0.482
CPI-SS0813792B7	FLRT1_ADGRL1	simple:Q9NZU1	simple:O94910	FLRT1	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.208	0.131	0.091	0.239	0.162	0.122	0.226	0.15	0.11	0.182	0.071	0.093	0.18	0.069	0.092	0.185	0.074	0.097	0.0	0.0	0.243	0.061
CPI-CS007F1C612	TENM2_FLRT1_complex_ADGRL1	complex:TENM2_FLRT1_complex	simple:O94910		ADGRL1	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.206	0.13	0.09	0.21	0.133	0.093	0.215	0.138	0.098	0.18	0.07	0.092	0.18	0.069	0.092	0.185	0.074	0.097	0.0	0.0	0.243	0.061
CPI-CS0C8B4ED97	TENM4_FLRT1_complex_ADGRL1	complex:TENM4_FLRT1_complex	simple:O94910		ADGRL1	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.208	0.131	0.091	0.239	0.162	0.122	0.226	0.15	0.11	0.182	0.071	0.093	0.18	0.069	0.092	0.185	0.074	0.097	0.0	0.0	0.243	0.061
CPI-SS008E98D3E	FLRT2_ADGRL1	simple:O43155	simple:O94910	FLRT2	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.209	0.133	0.092	0.322	0.245	0.205	0.284	0.208	0.168	0.182	0.071	0.093	0.185	0.074	0.097	0.232	0.121	0.144	0.248	0.065	0.38	0.198
CPI-CS04534E61E	TENM2_FLRT3_complex_ADGRL1	complex:TENM2_FLRT3_complex	simple:O94910		ADGRL1	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.206	0.13	0.09	0.21	0.133	0.093	0.215	0.138	0.098	0.18	0.07	0.092	0.181	0.07	0.093	0.186	0.076	0.098	0.248	0.065	0.251	0.069
CPI-CS0B24464AF	TENM4_FLRT3_complex_ADGRL1	complex:TENM4_FLRT3_complex	simple:O94910		ADGRL1	False	True	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.228	0.152	0.112	0.26	0.184	0.144	0.232	0.156	0.116	0.202	0.091	0.114	0.186	0.075	0.098	0.224	0.114	0.136	0.248	0.065	0.33	0.148
